id	name	summary	url	published_at	guid	location	created_at	updated_at	tags	category	source
21257	В Уфе ещё два человека скончались от гриппа	Еще две смерти от гриппа зарегистрированы в Уфе. Это произошло в Республиканской клинической больнице им. Куватова. Врачи говорят, что оба больных поступили к ним со всеми признаками гриппа. Спустя некоторое время они скончались. Установить точную причину смерти помогут специалисты Роспотребнадзора.	http://www.vesti.ru/doc.html?id=1024239	02/05/2013 07:55:00	http://www.vesti.ru/doc.html?id=1024239		02/05/2013 17:41:49	02/22/2013 05:56:39			
21258	Полковник Квачков отверг обвинения в подготовке мятежа	"Полковник ГРУ в отставке Владимир Квачков, подозреваемый в подготовке вооруженного мятежа и захвата власти в РФ, отверг все обвинения, подчеркнув, что ""в России существует право на восстание""."	http://www.vesti.ru/doc.html?id=1024236	02/05/2013 08:02:00	http://www.vesti.ru/doc.html?id=1024236		02/05/2013 17:41:49	03/04/2013 18:07:14			
21259	"Сочинская трасса ""Формулы-1"" обойдется в 7,9 млрд рублей"	"Президент России Владимир Путин посетил строящуюся в Сочи трассу для первого российского этапа в истории ""Формулы-1"". В рамках визита глава государства встретился с генеральным директором ""Королевских гонок"" Берни Экклстоуном."	http://www.vesti.ru/doc.html?id=1024230	02/05/2013 07:49:00	http://www.vesti.ru/doc.html?id=1024230		02/05/2013 17:41:49	03/04/2013 18:07:14			
21260	В Алексине ограничили въезд большегрузов в город	С сегодняшнего дня решением властей города в Алексин ограничен въезд фур и автопоездов. По версии администрации, именно они стали причиной транспортного коллапса, возникшего накануне. Заложниками снегопада оказались почти 150 человек. До сих пор транспортная ситуация в районе нестабильна.	http://www.vesti.ru/doc.html?id=1024248	02/05/2013 08:10:00	http://www.vesti.ru/doc.html?id=1024248		02/05/2013 17:41:50	02/05/2013 17:41:50			
21261	"""Мясной скандал"": еще три компании попали под подозрение"	"Еще три британских компании попали в поле зрения правоохранительных органов в связи с потрясшим Европу ""мясным скандалом"". Обыски прошли на двух мясных предприятиях в Тоттенхэме (на севере Лондона), и в городе Халл (английское графство Йоркшир)."	http://www.vesti.ru/doc.html?id=1033984	02/16/2013 00:04:00	http://www.vesti.ru/doc.html?id=1033984		02/16/2013 19:16:37	02/16/2013 19:16:37			
21262	Богатейший в мире человек скупает акции собственной компании	Самый богатый человек в мире, мексиканец Карлос Слим выделил более 514 миллионов долларов для покупки акций своей собственной телекоммуникационной компании America Movil в связи с резким снижением их стоимости на бирже.	http://www.vesti.ru/doc.html?id=1033986	02/16/2013 00:10:00	http://www.vesti.ru/doc.html?id=1033986		02/16/2013 19:16:37	02/16/2013 19:16:37			
21263	Создан новый сайт об Арктике	В Интернете открыт новый англоязычный информационно-справочный ресурс об Арктике. Норвежский Центр логистики Крайнего Севера запустил базу данных с системой поиска по судоходству, транспортной инфраструктуре, ресурсам, а также инновационным логистическим решениям в режиме онлайн.	http://www.vesti.ru/doc.html?id=1024254	02/05/2013 08:30:00	http://www.vesti.ru/doc.html?id=1024254		02/05/2013 17:41:50	02/05/2013 17:41:50			
21264	В Забайкалье летом впервые пройдет Байкальский экономический форум	В Красноярске завершился десятый экономический форум. В работе его площадок приняли участие около 3-х тысяч человек. Принял участие в работе форума и губернатор Забайкальского края Равиль Гениатулин. Глава региона отметил, что впервые в Забайкалье летом пройдет Байкальский экономический форум.	http://www.vesti.ru/doc.html?id=1034953	02/18/2013 02:53:00	http://www.vesti.ru/doc.html?id=1034953		02/18/2013 18:29:55	02/22/2013 05:56:39			
21265	Американец чудом выжил, упав с 14-метрового подъемника. Видео	Безобидная шалость чуть не стоила 17-летнему американцу Джейкобу Гутьересу жизни. Решив подшутить над своим приятелем, пассажир горнолыжного подъемника выпал из кабинки и рухнул вниз с 14-метровой высоты. Инцидент произошел на курорте в городе Санта Фе, штат Нью-Мексико.	http://www.vesti.ru/doc.html?id=1039012	02/22/2013 13:24:00	http://www.vesti.ru/doc.html?id=1039012		02/22/2013 20:00:11	02/22/2013 20:00:11			
21266	"""Зенит"" мог упасть из-за проблем с двигателем первой ступени"	"Авария ракеты-носителя ""Зенит"" 1 февраля, по предварительным данным, может быть связана с неполадками в работе двигателя первой ступени. Об этом сообщил во вторник источник, близкий к аварийной комиссии."	http://www.vesti.ru/doc.html?id=1024277	02/05/2013 09:06:00	http://www.vesti.ru/doc.html?id=1024277		02/05/2013 17:41:52	02/05/2013 17:41:52			
21267	В Пензе начался суд над пожирателем сердец	Пензенский областной суд сегодня приступил к рассмотрению уголовного дела в отношении мужчины, обвиняемого в убийстве девяти бомжей. Причем сердца двух своих жертв он съел.	http://www.vesti.ru/doc.html?id=1024259	02/05/2013 08:36:00	http://www.vesti.ru/doc.html?id=1024259		02/05/2013 17:41:51	02/22/2013 05:56:40			
21268	Двое воронежских ребят отправятся в Вену на Русский бал	Двое воронежских ребят - воспитанники детского дома в Перелешино - отправятся в Вену на Русский бал. Это один из символов русской культуры за рубежом. Ребята честно отстояли своё право на поездку в танцевальном конкурсе.	http://www.vesti.ru/doc.html?id=1024257	02/05/2013 08:34:00	http://www.vesti.ru/doc.html?id=1024257		02/05/2013 17:41:50	02/17/2013 08:49:33			
