geonameid;name;latitude;longitude;population;countrycode
3981467;Тарифа;36.01393;-5.60695;17793;ES
3981885;Моста;35.90917;14.42556;17789;MT
3982121;Франкфурт;41.49587;-87.84866;17782;US
3982213;Мэндэфэра;14.88722;38.81528;17781;ER
3982266;Саратога-Спрингс;40.34912;-111.90466;17781;US
3983820;Малацки;48.43604;17.02188;17773;SK
3985710;Сейди;39.4816;62.91374;17762;TM
3986984;Изяслав;50.11947;26.82125;17758;UA
3987224;Портсмут;41.60232;-71.25033;17756;US
3988333;Мюррей;36.61033;-88.31476;17741;US
3992986;МАКИНСК;52.63373;70.4177;17711;KZ
3996069;Туль;48.68333;5;17680;FR
4003662;Хортен;59.41721;10.48343;17660;NO
4004153;Горажде;43.66795;18.97564;17650;BA
4005492;Иловайск;47.92498;38.20236;17621;UA
4005539;Раздельная;46.84334;30.07919;17615;UA
4005775;Бей-Сити;28.98276;-95.9694;17614;US
4006163;Неготин;44.22639;22.53083;17612;RS
4006622;Ковильян;40.28601;-7.50396;17610;PT
4006806;Саласпилс;56.86014;24.36544;17606;LV
4014338;Салонта;46.8;21.65;17561;RO
4014553;Хар;48.10881;11.72653;17560;DE
4019819;Червонопартизанск;48.07613;39.79618;17526;UA
4026075;ХОПА;41.40597;41.43787;17519;TR
4026082;Неготино,Неготино-Полошко;41.87861;20.88389;17518;MK
4030723;ЗЕЛЕНКА;52.30376;21.16018;17518;PL
4062577;БЫХОВ,Быхаў;53.521;30.2454;17500;BY
4103957;Ёвон;38.31408;69.03784;17471;TJ
4125388;Йоросо;12.35812;-4.77688;17447;ML
4126226;Калангут;15.5439;73.7553;17446;IN
4148757;Пеша;43.89705;10.69041;17428;IT
4150115;Делчево;41.96722;22.76944;17415;MK
4151909;Питт-Медоус;49.22119;-122.68965;17410;CA
4153132;Лепель;54.8814;28.699;17400;BY
4153146;Куусамо;65.96667;29.18333;17400;FI
4158476;Хантингтон;40.8831;-85.49748;17391;US
4167348;Помбал;39.91674;-8.62847;17355;PT
4167694;БУЛГАН,Булган;48.8125;103.53472;17348;MN
4168139;Митарлам;34.67139;70.20944;17345;AF
4174201;Плейнвилль;41.67454;-72.85816;17328;US
4178003;Аркеј;48.79993;2.33256;17308;FR
4178552;Ла Пинеда;41.07625;1.18515;17305;ES
4178775;Вила-сека;42.06174;2.25528;17305;ES
4179320;Монро;47.85538;-121.97096;17304;US
4180439;Кемер;36.59778;30.56056;17300;TR
4184845;АХАЛЦИХЕ;41.63901;42.98262;17298;GE
4196586;Оріхів;47.56731;35.78575;17287;UA
4226552;Витрэ;48.11776;-1.20577;17266;FR
4227213;Истад;55.42966;13.82041;17266;SE
4247703;Витри-ле-Франсуа;48.73333;4.58333;17250;FR
4250542;Сан-Бенту;-2.69583;-44.82139;17245;BR
4254679;Чирпан;42.2;25.33333;17243;BG
4262045;Палестрина;41.83552;12.88899;17234;IT
4265737;Эльбеф;49.28669;1.00288;17231;FR
4274994;Теккекей;41.21167;36.46;17226;TR
4276248;КАРЛОВКА,Карлівка;49.45668;35.12947;17226;UA
4281730;АХСУ;40.57028;48.40087;17209;AZ
4294494;Мэрион;37.73061;-88.93313;17193;US
4333177;Плая дель Инглес;27.7567;-15.5787;17158;ES
4352681;ТИРЕБОЛУ;41.00694;38.81389;17124;TR
4364990;ПОДГОРОДНОЕ,Підгородне;48.57528;35.1068;17103;UA
4366001;Конвей;33.836;-79.04781;17103;US
4368711;Буско-Здруј;50.47078;20.71884;17095;PL
4369190;Лаука;62.41407;25.95194;17093;FI
4379966;Городок;49.16374;26.58394;17086;UA
4386387;СЕВАН;40.5484;44.94868;17083;AM
4396915;ХОРАСАН;40.04583;42.17278;17067;TR
4439869;Бешкент;38.82139;65.65306;17010;UZ
4449620;Вила-Реал;41.30062;-7.74413;17001;PT
4452808;Калодзішчы,Колодищи;53.944;27.7823;17000;BY
4475773;Катумбела;-12.43139;13.54722;16977;AO
