geonameid;name;asciiname;altnames;lat;long;fclass;fcode;ccode;cc2;acode1;acode2;acode3;acode4;pop;elev;gtopo;tz;mdate
2017370;Russian Federation;Russian Federation;Conaidhm na Ruise,Cnaidhm na Rise,Den russiske foderasjon,Den russiske fderasjon,Errusia,Federatia Rusa,Federazione Russa,Federaia Rus,Irisi,Krievija,Lasa,Lusia,Lsia,Nga,Orileede Rosia,Oros,Oroszorszagi Foederacio,Oroszorszgi Fderci,Orlde Ria,Rasha,Rashiya,Rasia,Rasijskaa Federacya,Resej,Riisii,Risi,Ris,Rosia,Rosijs'ka Federacija,Rosja,Rossija,Rossijskaja Federacija,Rossiyskaya Federatsiya,Rossiyskaya Sovetskaya Federativnaya Sotsialisticheskaya Respublika,Ruossa,Ruoa,Rusastan,Rusi,Rusia,Rusii,Rusija,Rusijos Federacija,Rusiya,Ruska Federacija,Ruska federacia,Ruska federacija,Rusko,Rusk federcia,Rusland,Ruslandi,Russi,Russia,Russia nutome,Russian Federation,Russian Socialist Federative Soviet Republic,Russian Soviet Federated Socialist Republic,Russian Soviet Federative Socialist Republic,Russie,Russische Federatie,Russische Foederation,Russische Fderation,Russja,Russland,Rusujo,Rusya,Rusya Federasyonu,Rusi,Ruush,Rwsia,Ryssland,Rssia,Rssland,Rhyea,Uburusiya,Urusi,Venaejae,Venemaa,Venj,e luo si,hbr hmdynwt hrwsywt,i-Russia,leosia,rasiya,rasiyana phedaresana,rasseiy,rasya,rauca,roshia,rusa,ruseti,rusi'a,rwsy,rwsya,rwsyh,rwsyh, hpdrzyh sl,,Орос,Расійская Федэрацыя,Расія,Ресей,Российская Федерация,Россия,Російська Федерація,Росія,Русия,Русија,Руска Федерация,,  ,,  ,,,,wwsya,,,,,,, ,,,,,,,,,,,,,,,,,,,,;60;100;A;PCLI;RU;;0;;;;140702000;;307;;17.01.2012
524925;Moskovskaya Oblast’;Moskovskaya Oblast';Moscow Oblast,Moscu Ciudad Federal,Moskovskaja oblast',Moskovskaya,Moskovskaya Oblast',Moskovskaya Oblast’,Moskva,Moskva fylke,Podmoskov'e,Московская область,Подмосковье;55.75;37.5;A;ADM1;RU;;47;;;;10636983;;135;Europe/Moscow;16.01.2012
524901;Moscow;Moscow;Gorad Maskva,MOW,Maeskaew,Maeskuy,Maskav,Maskava,Maskva,Mat-xco-va,Matxcova,Matxcva,Mosca,Moscfa,Moscha,Mosco,Moscou,Moscova,Moscovo,Moscow,Mosco,Moscu,Moscua,Moscu,Mosc,Mosc,Mosc,Mosk'va,Moska,Moskau,Mosko,Moskokh,Moskou,Moskov,Moskova,Moskow,Moskowa,Mosku,Moskuas,Moskva,Moskvo,Moskwa,Moszkva,Muskav,Musko,Mt-xc-va,Mskw,Mskwa,masko,maskw,mo si ke,moseukeuba,mosko,mosukuwa,mskw,mwskva,mwskw,mwsqbh,mwsqb,mx s ko,,Горад Масква,Мскуы,Маскав,Москва,Москова,Москох,Москъва,Мускав,Муско,,,,,,,,,,,,,,,,,,,,,;55.75222;37.61556;P;PPLC;RU;;48;;;;10381222;;144;Europe/Moscow;19.08.2012
542415;Krasnodarskiy Kray;Krasnodarskiy Kray;Krasnodar,Krasnodar Kray,Krasnodarskij kraj,Krasnodarskiy,Krasnodarskiy Kray,Краснодарский край;44.98811;38.97675;A;ADM1;RU;;38;;;;5191490;;28;Europe/Moscow;11.07.2012
1490542;Sverdlovskaya Oblast’;Sverdlovskaya Oblast';NULL,Sverdlovsk,Sverdlovsk Oblast,Sverdlovskaja oblast,Sverdlovskaja oblast',Sverdlovskaya Oblast',Sverdlovskaya Oblast’,Свердловская область;58;62;A;ADM1;RU;;71;;;;4412629;;133;Asia/Yekaterinburg;16.01.2012
501165;Rostovskaya Oblast’;Rostovskaya Oblast';NULL,Rostov,Rostov Oblast,Rostovskaja oblast,Rostovskaja oblast',Rostovskaya Oblast',Rostovskaya Oblast’,Ростовская область;47;42;A;ADM1;RU;;61;;;;4397303;;102;Europe/Moscow;16.01.2012
498817;Saint Petersburg;Saint Petersburg;Agia Petroupole,Betuyrbukh,LED,Leningrad,Leningrado,Lungsod ng Sankt-Peterburg,Peterburg,Peterburgo,Peterburi,Petersburg,Petrograd,Petrogrado,Petrohrad,Petropolis,Petursborg,Pietari,Piter,Ptursborg,SPb,Saint Petersbourg,Saint Petersburg,Saint Ptersbourg,Saint-Petersbourg,Saint-Petersburg,Saint-Ptersbourg,San Petersburgo,San Pietroburgo,San Pietruburgu,Sankt Peitersbuerg,Sankt Peterburg,Sankt Peterburgas,Sankt Petersborg,Sankt Petersburg,Sankt Peterzburg,Sankt Pitersbuerg,Sankt-Peterburg,Sankt-Peterburgo,Sankt-Petersburg,Sankti Petursborg,Sankti Ptursborg,Sanktpeterburga,Sanktpterburga,Sant Petersburg,Sant Petersburgo,Sant-Petersbourg,Sao Petersburgo,Sint Petersbork,Sint-Petersburg,St Peterburg,St Petersburg,St. Petersburg,St.-Petersburg,Szentpetervar,Szentptervr,So Petersburgo,sangteupeteleubuleukeu,sankt. peterburg,sankutopeteruburuku,sant btrsbrgh,sent pi te xrs beirk,sheng bi de bao,sn ptrzbwrg,snqt ptrbwrg, ,Бетъырбух,Ленинград,Петербург,Петроград,Питер,СПб,Санкт Петербург,Санкт Петерзбург,Санкт-Петербург, , , , ,,-,-,,,;59.89444;30.26417;P;PPLA;RU;;66;;;;4039745;;12;Europe/Moscow;17.01.2012
1535932;Gorod Chelyabinsk;Gorod Chelyabinsk;;55.16667;61.41667;A;ADM2;RU;;13;1535932;;;3577253;;217;Asia/Yekaterinburg;23.03.2006
499068;Samarskaya Oblast’;Samarskaya Oblast';Kuybyshev Oblast,Kuybyshevskaya Oblast',Kuybyshevskaya Oblast’,NULL,Samara,Samarskaja Oblast',Samarskaja oblast,Samarskaja oblast',Samarskaya Oblast',Samarskaya Oblast’,Самарская Область,Самарская область;53;50;A;ADM1;RU;;65;;;;3201272;;114;Europe/Samara;16.01.2012
1502020;Krasnoyarskiy Kray;Krasnoyarskiy Kray;Krai de Krasnojarsk,Krasnojarsk,Krasnojarskij kraj,Krasnoyarsk Krai,Krasnoyarsk Kray,Krasnoyarskiy,Krasnoyarskiy Kray,Красноярский край;58;93;A;ADM1;RU;;91;;;;2845899;;81;Asia/Krasnoyarsk;04.08.2012
