geonameid;name;latitude;longitude;fclass;acode;population
2017370;Орос,Расійская Федэрацыя,Расія,Ресей,Российская Федерация,Россия,Російська Федерація,Росія,Русия,Русија,Руска Федерация;60;100;A;0;140702000
524925;Московская область,Подмосковье;55.75;37.5;A;47;10636983
524901;Горад Масква,Мскуы,Маскав,Москва,Москова,Москох,Москъва,Мускав,Муско;55.75222;37.61556;P;48;10381222
542415;Краснодарский край;44.98811;38.97675;A;38;5191490
1490542;Свердловская область;58;62;A;71;4412629
501165;Ростовская область;47;42;A;61;4397303
498817;Бетъырбух,Ленинград,Петербург,Петроград,Питер,СПб,Санкт Петербург,Санкт Петерзбург,Санкт-Петербург;59.89444;30.26417;P;66;4039745
499068;Самарская Область,Самарская область;53;50;A;65;3201272
1502020;Красноярский край;58;93;A;91;2845899
1503900;Кемеровская область;55;86;A;29;2827246
511180;Пермский край,Пермская область;59;57;A;90;2819421
498671;Саратовская область;51.5;47;A;67;2648495
1511732;Алтайский край;52.5;83;A;4;2586976
567293;Дагестан,Дагестан Республики,Дагъистан,Даьесан Аынарра,Республика Дагестан;43;47;A;17;2576531
472039;Воронежская область;51;40.5;A;86;2345910
1496152;Омская область;56;73;A;54;2054238
2017623;Приморский край;45;135;A;59;2021901
480508;Тульская область;54;37.5;A;76;1628465
479613;Республика Удмуртия,Удмуртия;57;53;A;80;1552897
578071;Белгородская Область,Белгородская область;50.75;37.5;A;9;1511603
1503773;Ханты-Мансийский АО,Ханты-Мансийский автономный округ;62;72;A;32;1460892
548389;Кировская область;58;50;A;33;1457862
511555;Пензенская область;53;44.5;A;57;1433768
480041;Тверская область;57.00964;35.00488;A;77;1425582
1496747;н пр,Виль Сибиркар,Горад Навасібірск,Новониколаевск,Новосибирск,Новосибирскай,Новосибирьскъ,Новосибірськ,Одсибирень ош;55.0415;82.9346;P;53;1419007
2022888;Хабаровский край;55;134;A;30;1394490
479119;Ульяновская область;54;48;A;81;1350713
468898;Ярославская область;58;39.5;A;88;1338750
1488747;Тюменская область,Тюмень;57.33333;68.5;A;78;1316577
567395;Республика Чувашия,Чваш Республики,Чуваська Республіка,Чувашия,Чувашија;55.5;47;A;16;1301226
1486209;Єкатеринбург,Екатеринбург,Свердловск;56.8575;60.6125;P;71;1287573
520555;Горький,Нижний Новгород;56.32867;44.00205;P;51;1284164
581043;Архангельская область;64;44;A;6;1262043
472454;Вологодская область;60;42;A;85;1245037
569665;Чеченская Республика,Чечня;43.25;45.83333;A;12;1210000
538555;Курская область;51.5;36;A;41;1207091
500059;Рязанская область;54.25;40.5;A;62;1197310
484638;Тамбовская область;52.75;41.5;A;72;1143906
499099;Горад Самара,Куйбышев,Самар,Самар,Самара,Самара,амар;53.20006;50.15;P;65;1134730
1496153;Омск,Омськ;55;73.4;P;54;1129281
551487;Горад Казань,КАЗАНЬ,Казан,Казань,Казань ош,Казањ,Каанъ,Козань,Кузон,Къазан,Оза,Хусан,Хъазан,азан,аан;55.78874;49.12214;P;73;1104738
501175;Ростов на Дон,Ростов на Дону,Ростов-на-Дону;47.23135;39.72328;P;61;1074482
1508291;Челябинск,Челябінськ,Чељабинск;55.15444;61.42972;P;13;1062919
1489421;Томская область;58.5;82.5;A;75;1049069
479561;Ufа,пх,УФА,Уфа,ф;54.78517;56.04562;P;8;1033338
553899;Калужская область;54.5;35.5;A;25;1030145
491684;Смоленская область;55;33;A;69;1022035
472757;Вльгоградъ,Волгоград,Горад Валгаград,Сталинград,Царицын;48.71939;44.50184;P;84;1011417
511196;Молотов,Пермь;58.01741;56.28552;P;90;982419
2050915;Бурятия,Республика Бурятия;53;109;A;11;963335
554667;Кабардино-Балкария,Республика Кабардино-Балкария;43.5;43.5;A;22;928519
1502026;Красноярск;56.0091;92.8628;P;91;927200
2013162;Республика Саха (Якутия),Саха (Якутия);65;130;A;63;918293
525369;Мордовия,Мордовская республика,Республика Мордовия;54.5;44;A;46;868531
498677;Саратов;51.54056;46.00861;P;67;863725
514801;Орловская область;53;36.25;A;56;848808
472045;ВОРОНЕЖ,Воронеж,Воронежская область;51.67204;39.1843;P;86;848752
524304;Мурманска област,Мурманская область;68;34;A;49;841894
519969;Республика Северная Осетия,Республика Северная Осетия - Алания,Северная Осетия;43;44.25;A;68;722902
482283;Ставрополь,ТОЛЬЯТТИ,Тольятти,Тољати;53.5303;49.3461;P;65;702879
552548;Карелия,Карельская республика,Республика Карелия;64;32.5;A;28;697354
542420;Краснодар;45.0488;38.9725;P;38;649851
479123;Синбирск,УЛЬЯНОВСК,Ульяновск;54.32824;48.38657;P;81;640680
554840;Иж,Ижевск,Ижкар;56.84976;53.20448;P;80;631038
468902;Ярославль;57.62987;39.87368;P;88;606730
1510853;Barnaul - Барнаул,БАРНАУЛ,Барнаул;53.36056;83.76361;P;4;599579
2013348;Владивосток,Горад Уладзівасток;43.10562;131.87353;P;59;587022
2023469;Іркутськ,Горад Іркуцк,Иркутск,Иркутскай,Иркуцк,Эрх;52.29778;104.29639;P;20;586695
2022890;ХАБАРОВСК,Хабаровск,Хабаровськ;48.48083;135.09278;P;30;579000
2056752;Хабаровск Второй;48.445;135.1379;P;30;578303
515003;Оренбург,Чкалов;51.7727;55.0988;P;55;550204
1496990;Новокузнецк,Новокузњецк,Сталинск;53.7557;87.1099;P;29;539616
500096;Рязань;54.6269;39.6916;P;62;520173
1488754;Тюмень;57.15222;65.52722;P;78;519119
535121;Липецк;52.60311;39.57076;P;43;515655
511565;Пенза;53.20066;45.00464;P;57;512602
523750;НАБЕРЕЖНЫЕ ЧЕЛНЫ,Набережные Челны;55.72545;52.41122;P;73;509870
580497;Астрахань;46.34968;48.04076;P;7;502533
556349;Ингушетия,Ингушская республика,Республика Ингушетия;43.16667;45;A;19;499502
532096;МахIачхъала,Махачкала;42.97638;47.50236;P;17;497959
1489425;Горад Томск,Томск,Томскай,Томськ,Томьскъ;56.4989;84.9762;P;75;485519
1503901;Кемерово;55.33333;86.08333;P;29;477090
480562;Тула;54.20213;37.64429;P;76;468825
548408;Горад Кіраў,Киров,Кіров;58.59665;49.66007;P;33;457383
569696;Чебоксары,Шупашкар;56.13222;47.25194;P;16;446781
554234;Горад Калінінград,Калининград,Калињинград,Калінінград;54.70649;20.51095;P;23;434954
552927;Карачаево-Черкессия,Карачаево-Черкесская Республика,Республика Карачаево-Черкессия;44;42;A;27;434488
571476;Брянск,Брјанск;53.25209;34.37167;P;10;427236
555312;Иваново;56.99719;40.97139;P;21;420839
532288;МАГНИТОГОРСК,Магнитогорск;53.41861;59.04722;P;13;413351
538560;Курск,Курськ;51.73733;36.18735;P;41;409431
480060;Горад Цвер,Калинин,Тверь;56.86049;35.87603;P;77;400212
520494;Нижний Тагил;57.91944;59.965;P;71;381116
487846;Ставрополь;45.0428;41.9734;P;70;363064
2014407;Верхнеудинск,Улаан-Удэ,Улаан-дэ,Улан Уде,Улан-Удэ;51.82605;107.60979;P;11;360278
581049;Архангельск;64.5401;40.5433;P;6;356051
578072;Белгород;50.61074;36.58015;P;9;345289
1501321;Курган;55.45;65.33333;P;40;343129
553915;Калуг,Калуга;54.5293;36.27542;P;25;338978
491422;Sochi - Сочи,Сочи,Сочі;43.59917;39.72569;P;38;327608
515012;Орел,Орёл;52.96508;36.0785;P;56;324200
472231;ВОЛЖСКИЙ,Волжский;48.78583;44.77973;P;84;323293
491687;Смаленск,Смоленск;54.7818;32.0401;P;69;320991
524305;Мурманск;68.97917;33.09251;P;49;319263
473249;Владикавказ,Дзуджыхъу,Орджоникидзе;43.03667;44.66778;P;68;317370
569223;Череповец;59.13333;37.9;P;85;311850
473247;Владимир,Володимир;56.13655;40.39658;P;83;310024
2025339;Чита;52.03171;113.50087;P;93;308500
498698;Саранск;54.1838;45.1749;P;46;303394
1490624;СУРГУТ,Сургут;61.25;73.41667;P;32;300367
472459;Вологд,Вологда,Волоґда,Влгда,Горад Волагда;59.2187;39.8886;P;85;294889
484646;Тамбов;52.73169;41.44326;P;72;290933
553972;Калмыкия,Калмыкская республика,Республика Калмыкия;46.5;45.5;A;24;284668
466806;ЙОШКАР-ОЛА,Йошкaр-Ола,Йошкар-Ола;56.63877;47.89078;P;45;279100
484907;ТАГАНРОГ,Таганрог;47.23617;38.89688;P;61;279056
543878;Кострома;57.76647;40.92686;P;37;277656
2021851;Комсомольск-на-Амуре;50.55199;137.01524;P;30;275908
523523;НАЛЬЧИК,Нальчик;43.49806;43.61889;P;22;272800
504756;Промышленный Район;53.26314;50.19872;A;65;268675
487495;СТЕРЛИТАМАК,Стерл,Стерлитамак;53.62462;55.95015;P;8;267231
509820;Петрозаводск;61.78491;34.34691;P;28;265025
2051523;БРАТСК,Братск,Брацк;56.1325;101.61417;P;20;256600
563708;ДЗЕРЖИНСК;56.24143;43.45539;P;51;256537
514734;ОРСК,Орск;51.20487;58.56685;P;55;246836
1497543;НИЖНЕВАРТОВСК,Нижневартовск;60.9344;76.5531;P;32;244937
2027667;АНГАРСК,Ангарск,Ангарськ;52.53667;103.88639;P;20;243158
518255;Новоросијск,Новороссийск;44.72439;37.76752;P;38;241856
2013159;ЯКУТСК,Якутск;62.03389;129.73306;P;63;235600
521118;Анат Кама,НИЖНЕКАМСК,Нижнекамск;55.63657;51.82447;P;73;234297
548369;Кировский Район;53.23814;50.22587;A;65;231064
485239;Сиктивкар,Сыктывкар,Усть-Сысольск;61.67642;50.80994;P;34;230139
487928;СТАРЫЙ ОСКОЛ,Старий Оскол,Старый Оскол;51.29667;37.84167;P;9;226977
558418;Грозни,Грозный,Джовхар-ГІала,Джовхар-Гала,Джохар,Джохаргала,Соьлж-ГІала,Соьлжа-ГІала;43.31195;45.68895;P;12;226100
496015;ШАХТЫ,Шахти,Шахты;47.70911;40.21443;P;61;221312
2026609;Blаgоvеsjtsjеnsk,Благовещенск,Благовјешченск;50.26667;127.53333;P;5;221296
1494114;ПРОКОПЬЕВСК,Прокопьевск;53.9059;86.719;P;29;219000
500004;РЫБИНСК,Рибинск,Рыбинск;58.0446;38.84259;P;88;216724
463829;Зеленоград;55.9825;37.18139;P;48;215727
1510018;БИЙСК,Бийск,Бійськ;52.53639;85.20722;P;4;215430
519336;Велики Новгород,Великий Новгород,Новгород,Новъ Градъ,Новъградъ;58.51667;31.28333;P;52;215062
504341;Псков;57.8136;28.3496;P;60;201990
579492;БАЛАКОВО,Балаково;52.02782;47.8007;P;67;199572
580922;АРМАВИР,Армавир;44.9892;41.1234;P;38;199548
563464;ЭНГЕЛЬС,Энгельс;51.48389;46.10528;P;67;196011
496285;СЕВЕРОДВИНСК,Северодвинск;64.5635;39.8302;P;6;194292
462444;ЗЛАТОУСТ,Златоуст;55.17111;59.65083;P;13;191366
484972;СЫЗРАНЬ,Сызрань;53.1585;48.4681;P;65;189338
